time;x;y;fx;fy
63;121;-120;0;0
126;121;-120;0;0
189;121;-120;0;0
252;121;-120;0;0
315;121;-120;0;0
378;121;-120;0;0
441;121;-120;0;0
504;121;-120;0;0
567;121;-120;0;0
630;121;-120;0;0
693;121;-120;0;0
756;121;-120;0;0
819;121;-120;0;0
882;121;-120;0;0
945;121;-119;0;123
1008;121;-117;0;123
1071;121;-114;0;123
1134;121;-112;0;123
1197;121;-111;0;123
1260;121;-109;0;230
1323;121;-102;0;230
1386;121;-99;0;230
1449;121;-95;0;230
1512;121;-92;0;230
1575;121;-89;0;215
1638;121;-82;0;215
1701;121;-79;0;215
1764;121;-76;0;215
1827;121;-72;0;215
1890;121;-66;0;209
1953;121;-63;0;209
2016;121;-59;0;209
2079;121;-56;0;209
2142;121;-49;0;209
2205;121;-46;0;208
2268;121;-43;0;208
2331;121;-40;0;208
2394;121;-33;0;208
2457;121;-30;0;208
2520;121;-27;0;168
2583;121;-25;0;168
2646;121;-20;0;168
2709;121;-17;0;168
2772;121;-15;0;168
2835;121;-10;0;165
2898;121;-7;0;165
2961;121;-5;0;165
3024;121;-2;0;165
3087;121;0;0;165
3150;121;4;0;158
3213;121;6;0;158
3276;121;8;0;158
3339;121;10;0;158
3402;121;14;0;164
3465;121;17;0;164
3528;121;19;0;164
3591;121;22;0;164
3654;121;27;0;164
3717;121;29;0;132
3780;121;31;0;132
3843;121;33;0;132
3906;121;36;0;132
3969;121;38;0;132
4032;121;39;0;130
4095;121;41;0;130
4158;121;45;0;130
4221;121;46;0;130
4284;121;48;0;130
4347;121;50;0;130
4410;121;54;0;146
4473;121;56;0;146
4536;121;58;0;146
4599;121;60;0;146
4662;121;64;0;136
4725;121;66;0;136
4788;121;68;0;136
4851;121;70;0;136
4914;121;74;0;136
4977;121;76;0;115
5040;121;77;0;115
5103;121;79;0;115
5166;121;82;0;115
5229;121;83;0;115
5292;121;85;0;112
5355;121;86;0;112
5418;121;89;0;112
5481;121;90;0;112
5544;121;92;0;112
5607;121;93;0;98
5670;121;93;0;98
5733;121;93;0;98
5796;121;93;0;98
5859;121;93;0;98
5922;121;95;0;139
5985;121;97;0;139
6048;121;99;0;139
6111;121;101;0;139
6174;121;105;0;130
6237;121;107;0;130
6300;121;109;0;130
6363;121;111;0;130
6426;121;114;0;130
6489;121;116;0;130
6552;121;116;0;101
6615;121;116;0;101
6678;121;116;0;101
6741;121;116;0;101
6804;121;116;0;101
6867;121;116;0;89
6930;121;116;0;89
6993;121;116;0;89
7056;121;116;0;89
7119;121;116;0;89
7182;121;116;0;107
7245;121;116;0;107
7308;121;116;0;107
7371;121;116;0;107
7434;121;116;0;48
7497;121;116;0;48
7560;121;116;0;48
7623;121;116;0;48
7686;121;116;0;48
7749;121;116;0;0
7812;121;116;0;0
7875;121;116;0;0
7938;121;116;-26;0
8001;121;116;-26;0
8064;121;116;-26;0
8127;121;116;-26;0
8190;121;116;-26;0
8253;121;116;-26;0
8316;121;116;-42;0
8379;121;116;-42;0
8442;121;116;-42;0
8505;121;116;-42;0
8568;121;116;-42;0
8631;121;116;-42;0
8694;121;116;-48;0
8757;121;116;-48;0
8820;121;116;-48;0
8883;121;116;-48;0
8946;121;116;-61;0
9009;121;116;-61;0
9072;121;116;-61;0
9135;121;116;-61;0
9198;121;116;-61;0
9261;121;116;-75;0
9324;121;116;-75;0
9387;121;116;-75;0
9450;121;116;-75;0
9513;121;116;-75;0
9576;121;116;-93;0
9639;121;116;-93;-41
9702;121;116;-93;-41
9765;121;116;-93;-41
9828;121;116;-93;-41
9891;121;116;-143;-41
9954;117;116;-143;-75
10017;115;116;-143;-75
10080;113;116;-143;-75
10143;111;116;-143;-75
10206;107;116;-134;-98
10269;106;116;-134;-98
10332;104;116;-134;-98
10395;102;116;-134;-98
10458;99;116;0;-98
10521;99;116;0;-248
10584;99;111;0;-248
10647;99;106;0;-248
10710;99;97;0;-248
10773;99;92;0;-248
10836;99;87;-40;-248
10899;99;84;-40;-167
10962;99;79;-40;-167
11025;99;77;-40;-167
11088;99;74;-40;-167
11151;97;72;-133;-167
11214;94;71;-133;0
11277;92;71;-133;0
11340;90;71;-133;0
11403;89;71;-133;0
11466;86;71;-113;0
11529;84;70;-113;-194
11592;83;67;-113;-194
11655;81;64;-113;-194
11718;79;58;-87;-194
11781;79;54;-87;-194
11844;79;52;-87;-125
11907;79;50;-87;-125
11970;79;46;-87;-125
12033;78;45;-135;-125
12096;77;43;-135;-125
12159;75;42;-135;-28
12222;71;42;-135;-28
12285;69;42;-135;-28
12348;67;42;-134;-28
12411;65;42;-134;-28
12474;62;42;-134;-61
12537;60;42;-134;-61
12600;58;42;-134;-61
12663;57;42;-114;-61
12726;54;42;-114;-81
12789;52;42;-114;-81
12852;51;42;-114;-81
12915;49;42;-114;-81
12978;46;42;-119;-81
13041;45;42;-119;-81
13104;43;40;-119;-128
13167;42;39;-119;-128
13230;39;35;-119;-128
13293;37;33;-117;-128
13356;34;30;-117;-132
13419;34;30;-117;-132
13482;31;26;-117;-132
13545;30;25;-117;-132
13608;28;23;-123;-132
13671;25;20;-123;-93
13734;23;20;-123;-93
13797;21;20;-123;-93
13860;19;20;-92;-93
13923;19;20;-92;-93
13986;19;20;-92;-116
14049;19;18;-92;-116
14112;19;17;-92;-116
14175;19;15;-92;-116
14238;19;13;-93;-116
14301;19;11;-93;-121
14364;19;9;-93;-121
14427;19;8;-93;-121
14490;19;4;-115;-121
14553;17;3;-115;-121
14616;16;1;-115;-60
14679;14;1;-115;-60
14742;11;1;-115;-60
14805;10;1;-164;-60
14868;7;1;-164;-60
14931;5;1;-164;-66
14994;0;1;-164;-66
15057;-1;1;-164;-66
15120;-4;1;-164;-66
15183;-4;1;-96;-66
15246;-4;0;-96;-117
